cohort,variable,value,n
HRS,r4medsa,1,831
HRS,r4moneya,<NA>,24490
HRS,r4moneya,0,19305
HRS,r4moneya,1,1439
HRS,r4proxy,<NA>,23850
HRS,r4proxy,0,19341
HRS,r4proxy,1,2043
HRS,r5iwstat,6,2656
HRS,r5iwstat,1,19578
HRS,r5iwstat,5,1441
HRS,r5iwstat,4,2486
HRS,r5iwstat,0,18628
HRS,r5iwstat,7,445
HRS,r5dressa,<NA>,25684
HRS,r5dressa,0,17458
HRS,r5dressa,1,2092
HRS,r5batha,<NA>,25689
HRS,r5batha,0,17935
HRS,r5batha,1,1610
HRS,r5eata,<NA>,25687
HRS,r5eata,0,18804
HRS,r5eata,1,743
HRS,r5beda,<NA>,25688
HRS,r5beda,0,18150
HRS,r5beda,1,1396
HRS,r5toilta,<NA>,25702
HRS,r5toilta,0,18300
HRS,r5toilta,1,1232
HRS,r5shopa,<NA>,26395
HRS,r5shopa,0,16827
HRS,r5shopa,1,2012
HRS,r5mealsa,<NA>,26730
HRS,r5mealsa,0,17034
HRS,r5mealsa,1,1470
HRS,r5medsa,<NA>,25700
HRS,r5medsa,0,18737
HRS,r5medsa,1,797
HRS,r5moneya,<NA>,26294
HRS,r5moneya,0,17562
HRS,r5moneya,1,1378
HRS,r5proxy,<NA>,25656
HRS,r5proxy,0,17516
HRS,r5proxy,1,2062
HRS,r6iwstat,6,4097
HRS,r6iwstat,5,1571
HRS,r6iwstat,1,18165
HRS,r6iwstat,4,2250
HRS,r6iwstat,0,18468
HRS,r6iwstat,7,683
HRS,r6dressa,<NA>,27082
HRS,r6dressa,0,16216
HRS,r6dressa,1,1936
HRS,r6batha,<NA>,27083
HRS,r6batha,0,16608
HRS,r6batha,1,1543
HRS,r6eata,<NA>,27090
HRS,r6eata,0,17405
HRS,r6eata,1,739
HRS,r6beda,<NA>,27097
HRS,r6beda,0,16840
HRS,r6beda,1,1297
HRS,r6toilta,<NA>,27106
HRS,r6toilta,0,16962
HRS,r6toilta,1,1166
HRS,r6shopa,<NA>,27716
HRS,r6shopa,0,15568
HRS,r6shopa,1,1950
HRS,r6mealsa,<NA>,28080
HRS,r6mealsa,0,15689
HRS,r6mealsa,1,1465
HRS,r6medsa,<NA>,27088
HRS,r6medsa,0,17338
HRS,r6medsa,1,808
HRS,r6moneya,<NA>,27650
HRS,r6moneya,0,16196
HRS,r6moneya,1,1388
HRS,r6proxy,<NA>,27069
HRS,r6proxy,0,16129
HRS,r6proxy,1,2036
HRS,r7iwstat,6,5641
HRS,r7iwstat,1,20129
HRS,r7iwstat,4,2330
HRS,r7iwstat,5,1297
HRS,r7iwstat,7,914
HRS,r7iwstat,0,14923
HRS,r7dressa,<NA>,25120
HRS,r7dressa,0,18104
HRS,r7dressa,1,2010
HRS,r7batha,<NA>,25127
HRS,r7batha,0,18514
HRS,r7batha,1,1593
HRS,r7eata,<NA>,25136
HRS,r7eata,0,19340
HRS,r7eata,1,758
HRS,r7beda,<NA>,25130
HRS,r7beda,0,18773
HRS,r7beda,1,1331
HRS,r7toilta,<NA>,25151
HRS,r7toilta,0,18890
HRS,r7toilta,1,1193
HRS,r7shopa,<NA>,25826
HRS,r7shopa,0,17375
HRS,r7shopa,1,2033
HRS,r7mealsa,<NA>,26133
HRS,r7mealsa,0,17625
HRS,r7mealsa,1,1476
HRS,r7medsa,<NA>,25161
HRS,r7medsa,0,19216
HRS,r7medsa,1,857
HRS,r7moneya,<NA>,25847
HRS,r7moneya,0,17980
HRS,r7moneya,1,1407
HRS,r7proxy,<NA>,25105
HRS,r7proxy,0,18327
HRS,r7proxy,1,1802
HRS,r8iwstat,6,6925
HRS,r8iwstat,1,18469
HRS,r8iwstat,4,2196
HRS,r8iwstat,7,1495
HRS,r8iwstat,0,14765
HRS,r8iwstat,5,1384
HRS,r8dressa,<NA>,26781
HRS,r8dressa,0,16398
HRS,r8dressa,1,2055
HRS,r8batha,<NA>,26783
HRS,r8batha,0,16929
HRS,r8batha,1,1522
HRS,r8eata,<NA>,26789
HRS,r8eata,0,17662
HRS,r8eata,1,783
HRS,r8beda,<NA>,26789
HRS,r8beda,0,17080
HRS,r8beda,1,1365
HRS,r8toilta,<NA>,26806
HRS,r8toilta,0,17115
HRS,r8toilta,1,1313
HRS,r8shopa,<NA>,27365
HRS,r8shopa,0,15820
HRS,r8shopa,1,2049
HRS,r8mealsa,<NA>,27598
HRS,r8mealsa,0,16216
HRS,r8mealsa,1,1420
HRS,r8medsa,<NA>,26784
HRS,r8medsa,0,17573
HRS,r8medsa,1,877
HRS,r8moneya,<NA>,27462
HRS,r8moneya,0,16377
HRS,r8moneya,1,1395
HRS,r8proxy,<NA>,26765
HRS,r8proxy,0,17209
HRS,r8proxy,1,1260
HRS,r9iwstat,6,8305
HRS,r9iwstat,1,17217
HRS,r9iwstat,4,2144
HRS,r9iwstat,5,1298
HRS,r9iwstat,7,1630
HRS,r9iwstat,0,14640
HRS,r9dressa,<NA>,28030
HRS,r9dressa,0,15269
HRS,r9dressa,1,1935
HRS,r9batha,<NA>,28032
HRS,r9batha,0,15711
HRS,r9batha,1,1491
HRS,r9eata,<NA>,28037
HRS,r9eata,0,16483
HRS,r9eata,1,714
HRS,r9beda,<NA>,28041
HRS,r9beda,0,15949
HRS,r9beda,1,1244
HRS,r9toilta,<NA>,28058
HRS,r9toilta,0,16005
HRS,r9toilta,1,1171
HRS,r9shopa,<NA>,28542
HRS,r9shopa,0,14828
HRS,r9shopa,1,1864
HRS,r9mealsa,<NA>,28761
HRS,r9mealsa,0,15095
HRS,r9mealsa,1,1378
HRS,r9medsa,<NA>,28034
HRS,r9medsa,0,16344
HRS,r9medsa,1,856
HRS,r9moneya,<NA>,28652
HRS,r9moneya,0,15225
HRS,r9moneya,1,1357
HRS,r9proxy,<NA>,28017
HRS,r9proxy,0,16077
HRS,r9proxy,1,1140
HRS,r10iwstat,6,9603
HRS,r10iwstat,1,22034
HRS,r10iwstat,5,1609
HRS,r10iwstat,4,2240
HRS,r10iwstat,7,1723
HRS,r10iwstat,0,8025
HRS,r10dressa,<NA>,23338
HRS,r10dressa,0,19327
HRS,r10dressa,1,2569
HRS,r10batha,<NA>,23340
HRS,r10batha,0,20027
HRS,r10batha,1,1867
HRS,r10eata,<NA>,23354
HRS,r10eata,0,20940
HRS,r10eata,1,940
HRS,r10beda,<NA>,23352
HRS,r10beda,0,20148
HRS,r10beda,1,1734
HRS,r10toilta,<NA>,23369
HRS,r10toilta,0,20350
HRS,r10toilta,1,1515
HRS,r10shopa,<NA>,23709
HRS,r10shopa,0,19170
HRS,r10shopa,1,2355
HRS,r10mealsa,<NA>,23886
HRS,r10mealsa,0,19648
HRS,r10mealsa,1,1700
HRS,r10medsa,<NA>,23373
HRS,r10medsa,0,20820
HRS,r10medsa,1,1041
HRS,r10moneya,<NA>,23932
HRS,r10moneya,0,19379
HRS,r10moneya,1,1923
HRS,r10proxy,<NA>,23200
HRS,r10proxy,0,20652
HRS,r10proxy,1,1382
HRS,r11iwstat,6,11212
HRS,r11iwstat,1,20554
HRS,r11iwstat,5,1202
HRS,r11iwstat,4,2265
HRS,r11iwstat,7,2151
HRS,r11iwstat,0,7850
HRS,r11dressa,<NA>,24711
HRS,r11dressa,0,18212
HRS,r11dressa,1,2311
HRS,r11batha,<NA>,24710
HRS,r11batha,0,18736
HRS,r11batha,1,1788
HRS,r11eata,<NA>,24715
HRS,r11eata,0,19617
HRS,r11eata,1,902
HRS,r11beda,<NA>,24724
HRS,r11beda,0,18871
HRS,r11beda,1,1639
HRS,r11toilta,<NA>,24725
HRS,r11toilta,1,1439
HRS,r11toilta,0,19070
HRS,r11shopa,<NA>,25013
HRS,r11shopa,0,17916
HRS,r11shopa,1,2305
HRS,r11mealsa,<NA>,25190
HRS,r11mealsa,0,18341
HRS,r11mealsa,1,1703
HRS,r11medsa,<NA>,24720
HRS,r11medsa,0,19517
HRS,r11medsa,1,997
HRS,r11moneya,<NA>,25197
HRS,r11moneya,0,18323
HRS,r11moneya,1,1714
HRS,r11proxy,<NA>,24680
HRS,r11proxy,0,19408
HRS,r11proxy,1,1146
HRS,r12iwstat,6,12414
HRS,r12iwstat,5,1343
HRS,r12iwstat,1,18747
HRS,r12iwstat,4,2551
HRS,r12iwstat,7,2476
HRS,r12iwstat,0,7703
HRS,r12dressa,<NA>,26513
HRS,r12dressa,0,16410
HRS,r12dressa,1,2311
HRS,r12batha,<NA>,26512
HRS,r12batha,0,16997
HRS,r12batha,1,1725
HRS,r12eata,<NA>,26522
HRS,r12eata,0,17841
HRS,r12eata,1,871
HRS,r12beda,<NA>,26528
HRS,r12beda,0,17168
HRS,r12beda,1,1538
HRS,r12toilta,<NA>,26540
HRS,r12toilta,1,1371
HRS,r12toilta,0,17323
HRS,r12shopa,<NA>,26785
HRS,r12shopa,1,2154
HRS,r12shopa,0,16295
HRS,r12mealsa,<NA>,26886
HRS,r12mealsa,1,1572
HRS,r12mealsa,0,16776
HRS,r12medsa,<NA>,26532
HRS,r12medsa,0,17743
HRS,r12medsa,1,959
HRS,r12moneya,<NA>,26959
HRS,r12moneya,0,16560
HRS,r12moneya,1,1715
HRS,r12proxy,<NA>,26487
HRS,r12proxy,0,17698
HRS,r12proxy,1,1049
HRS,r13iwstat,6,13757
HRS,r13iwstat,5,1480
HRS,r13iwstat,1,20912
HRS,r13iwstat,4,3340
HRS,r13iwstat,7,2733
HRS,r13iwstat,0,3012
HRS,r13dressa,<NA>,24367
HRS,r13dressa,0,18448
HRS,r13dressa,1,2419
HRS,r13batha,<NA>,24363
HRS,r13batha,0,19134
HRS,r13batha,1,1737
HRS,r13eata,<NA>,24373
HRS,r13eata,0,20021
HRS,r13eata,1,840
HRS,r13beda,<NA>,24384
HRS,r13beda,0,19171
HRS,r13beda,1,1679
HRS,r13toilta,<NA>,24383
HRS,r13toilta,0,19474
HRS,r13toilta,1,1377
HRS,r13shopa,<NA>,24648
HRS,r13shopa,0,18324
HRS,r13shopa,1,2262
HRS,r13mealsa,<NA>,24744
HRS,r13mealsa,0,18880
HRS,r13mealsa,1,1610
HRS,r13medsa,<NA>,24392
HRS,r13medsa,0,19873
HRS,r13medsa,1,969
HRS,r13moneya,<NA>,24779
HRS,r13moneya,0,18751
HRS,r13moneya,1,1704
HRS,r13proxy,<NA>,24322
HRS,r13proxy,0,19971
HRS,r13proxy,1,941
HRS,r14iwstat,6,15237
HRS,r14iwstat,4,5391
HRS,r14iwstat,1,17146
HRS,r14iwstat,5,1221
HRS,r14iwstat,7,3353
HRS,r14iwstat,0,2886
HRS,r14dressa,<NA>,28122
HRS,r14dressa,1,1884
HRS,r14dressa,0,15228
HRS,r14batha,<NA>,28121
HRS,r14batha,1,1376
HRS,r14batha,0,15737
HRS,r14eata,<NA>,28122
HRS,r14eata,1,678
HRS,r14eata,0,16434
HRS,r14beda,<NA>,28127
HRS,r14beda,0,15712
HRS,r14beda,1,1395
HRS,r14toilta,<NA>,28136
HRS,r14toilta,1,1116
HRS,r14toilta,0,15982
HRS,r14shopa,<NA>,28330
HRS,r14shopa,0,15095
HRS,r14shopa,1,1809
HRS,r14mealsa,<NA>,28407
HRS,r14mealsa,0,15536
HRS,r14mealsa,1,1291
HRS,r14medsa,<NA>,28151
HRS,r14medsa,0,16359
HRS,r14medsa,1,724
HRS,r14moneya,<NA>,28464
HRS,r14moneya,0,15464
HRS,r14moneya,1,1306
HRS,r14proxy,<NA>,28088
HRS,r14proxy,0,16483
HRS,r14proxy,1,663
HRS,r15iwstat,6,16458
HRS,r15iwstat,4,5049
HRS,r15iwstat,1,15723
HRS,r15iwstat,5,1447
HRS,r15iwstat,7,3767
HRS,r15iwstat,0,2790
HRS,r15dressa,<NA>,29598
HRS,r15dressa,0,13929
HRS,r15dressa,1,1707
HRS,r15batha,<NA>,29596
HRS,r15batha,1,1203
HRS,r15batha,0,14435
HRS,r15eata,<NA>,29606
HRS,r15eata,0,15040
HRS,r15eata,1,588
HRS,r15beda,<NA>,29604
HRS,r15beda,0,14409
HRS,r15beda,1,1221
HRS,r15toilta,<NA>,29610
HRS,r15toilta,0,14646
HRS,r15toilta,1,978
HRS,r15shopa,<NA>,29830
HRS,r15shopa,0,13758
HRS,r15shopa,1,1646
HRS,r15mealsa,<NA>,29811
HRS,r15mealsa,0,14298
HRS,r15mealsa,1,1125
HRS,r15medsa,<NA>,29613
HRS,r15medsa,0,14973
HRS,r15medsa,1,648
HRS,r15moneya,<NA>,29841
HRS,r15moneya,0,14324
HRS,r15moneya,1,1069
HRS,r15proxy,<NA>,29511
HRS,r15proxy,0,15002
HRS,r15proxy,1,721
HRS,r16iwstat,6,17905
HRS,r16iwstat,1,15856
HRS,r16iwstat,4,5748
HRS,r16iwstat,5,1382
HRS,r16iwstat,7,4343
HRS,r16dressa,<NA>,29469
HRS,r16dressa,0,13965
HRS,r16dressa,1,1800
HRS,r16batha,<NA>,29464
HRS,r16batha,0,14522
HRS,r16batha,1,1248
HRS,r16eata,<NA>,29465
HRS,r16eata,0,15159
HRS,r16eata,1,610
HRS,r16beda,<NA>,29473
HRS,r16beda,0,14446
HRS,r16beda,1,1315
HRS,r16toilta,<NA>,29473
HRS,r16toilta,0,14755
HRS,r16toilta,1,1006
HRS,r16shopa,<NA>,29640
HRS,r16shopa,0,13835
HRS,r16shopa,1,1759
HRS,r16mealsa,<NA>,29665
HRS,r16mealsa,0,14311
HRS,r16mealsa,1,1258
HRS,r16medsa,<NA>,29469
HRS,r16medsa,0,15064
HRS,r16medsa,1,701
HRS,r16moneya,<NA>,29706
HRS,r16moneya,0,14400
HRS,r16moneya,1,1128
HRS,r16proxy,<NA>,29378
HRS,r16proxy,0,15268
HRS,r16proxy,1,588
ELSA,raeducl,1,6773
ELSA,raeducl,2,9342
ELSA,raeducl,-4,69
ELSA,raeducl,3,3606
ELSA,raeducl,-13,295
ELSA,raeducl,-15,1551
ELSA,raeducl,-18,43
ELSA,r1iwstat,0,9580
ELSA,r1iwstat,1,12099
ELSA,r1dressa,<NA>,9580
ELSA,r1dressa,0,10359
ELSA,r1dressa,-16,175
ELSA,r1dressa,1,1549
ELSA,r1dressa,-4,12
ELSA,r1dressa,-18,4
ELSA,r1batha,<NA>,9580
ELSA,r1batha,0,10485
ELSA,r1batha,1,1423
ELSA,r1batha,-16,175
ELSA,r1batha,-4,12
ELSA,r1batha,-18,4
ELSA,r1eata,<NA>,9580
ELSA,r1eata,0,11690
ELSA,r1eata,-16,175
ELSA,r1eata,1,218
ELSA,r1eata,-4,12
ELSA,r1eata,-18,4
ELSA,r1beda,<NA>,9580
ELSA,r1beda,0,11115
ELSA,r1beda,-16,175
ELSA,r1beda,1,793
ELSA,r1beda,-4,12
ELSA,r1beda,-18,4
ELSA,r1toilta,<NA>,9580
ELSA,r1toilta,0,11489
ELSA,r1toilta,-16,175
ELSA,r1toilta,1,419
ELSA,r1toilta,-4,12
ELSA,r1toilta,-18,4
ELSA,r1shopa,<NA>,9580
ELSA,r1shopa,0,10801
ELSA,r1shopa,-16,175
ELSA,r1shopa,1,1107
ELSA,r1shopa,-4,12
ELSA,r1shopa,-18,4
ELSA,r1mealsa,<NA>,9580
ELSA,r1mealsa,0,11387
ELSA,r1mealsa,-16,175
ELSA,r1mealsa,1,521
ELSA,r1mealsa,-4,12
ELSA,r1mealsa,-18,4
ELSA,r1medsa,<NA>,9580
ELSA,r1medsa,0,11731
ELSA,r1medsa,-16,175
ELSA,r1medsa,1,177
ELSA,r1medsa,-4,12
ELSA,r1medsa,-18,4
ELSA,r1moneya,<NA>,9580
ELSA,r1moneya,0,11620
ELSA,r1moneya,-16,175
ELSA,r1moneya,1,288
ELSA,r1moneya,-4,12
ELSA,r1moneya,-18,4
ELSA,r1proxy,<NA>,9580
ELSA,r1proxy,0,11924
ELSA,r1proxy,1,175
ELSA,r2iwstat,1,9432
ELSA,r2iwstat,0,9472
ELSA,r2iwstat,9,1068
ELSA,r2iwstat,4,1199
ELSA,r2iwstat,5,508
ELSA,r2dressa,0,8144
ELSA,r2dressa,<NA>,12247
ELSA,r2dressa,1,1285
ELSA,r2dressa,-18,2
ELSA,r2dressa,-4,1
ELSA,r2batha,0,8298
ELSA,r2batha,<NA>,12247
ELSA,r2batha,1,1131
ELSA,r2batha,-18,2
ELSA,r2batha,-4,1
ELSA,r2eata,0,9207
ELSA,r2eata,<NA>,12247
ELSA,r2eata,1,222
ELSA,r2eata,-18,2
ELSA,r2eata,-4,1
ELSA,r2beda,0,8827
ELSA,r2beda,<NA>,12247
ELSA,r2beda,1,602
ELSA,r2beda,-18,2
ELSA,r2beda,-4,1
ELSA,r2toilta,0,9118
ELSA,r2toilta,<NA>,12247
ELSA,r2toilta,1,311
ELSA,r2toilta,-18,2
ELSA,r2toilta,-4,1
ELSA,r2shopa,0,8496
ELSA,r2shopa,<NA>,12247
ELSA,r2shopa,1,933
ELSA,r2shopa,-18,2
ELSA,r2shopa,-4,1
ELSA,r2mealsa,0,8949
ELSA,r2mealsa,<NA>,12247
ELSA,r2mealsa,1,480
ELSA,r2mealsa,-18,2
ELSA,r2mealsa,-4,1
ELSA,r2medsa,0,9224
ELSA,r2medsa,<NA>,12247
ELSA,r2medsa,1,205
ELSA,r2medsa,-18,2
ELSA,r2medsa,-4,1
ELSA,r2moneya,0,9117
ELSA,r2moneya,<NA>,12247
ELSA,r2moneya,1,312
ELSA,r2moneya,-18,2
ELSA,r2moneya,-4,1
ELSA,r2proxy,1,125
ELSA,r2proxy,<NA>,12247
ELSA,r2proxy,0,9307
ELSA,r3iwstat,1,9767
ELSA,r3iwstat,0,7749
ELSA,r3iwstat,9,1801
ELSA,r3iwstat,5,529
ELSA,r3iwstat,4,1325
ELSA,r3iwstat,6,508
ELSA,r3dressa,0,8530
ELSA,r3dressa,<NA>,11913
ELSA,r3dressa,1,1232
ELSA,r3dressa,-13,4
ELSA,r3batha,0,8687
ELSA,r3batha,<NA>,11913
ELSA,r3batha,1,1075
ELSA,r3batha,-13,4
ELSA,r3eata,0,9525
ELSA,r3eata,<NA>,11913
ELSA,r3eata,1,237
ELSA,r3eata,-13,4
ELSA,r3beda,0,9149
ELSA,r3beda,<NA>,11913
ELSA,r3beda,1,613
ELSA,r3beda,-13,4
ELSA,r3toilta,0,9399
ELSA,r3toilta,<NA>,11913
ELSA,r3toilta,1,363
ELSA,r3toilta,-13,4
ELSA,r3shopa,0,8804
ELSA,r3shopa,<NA>,11913
ELSA,r3shopa,1,958
ELSA,r3shopa,-13,4
ELSA,r3mealsa,0,9274
ELSA,r3mealsa,<NA>,11913
ELSA,r3mealsa,1,488
ELSA,r3mealsa,-13,4
ELSA,r3medsa,0,9540
ELSA,r3medsa,<NA>,11913
ELSA,r3medsa,1,222
ELSA,r3medsa,-13,4
ELSA,r3moneya,0,9404
ELSA,r3moneya,<NA>,11913
ELSA,r3moneya,1,358
ELSA,r3moneya,-13,4
ELSA,r3proxy,1,232
ELSA,r3proxy,<NA>,11913
ELSA,r3proxy,0,9534
ELSA,r4iwstat,1,11050
ELSA,r4iwstat,0,5061
ELSA,r4iwstat,9,2624
ELSA,r4iwstat,4,1318
ELSA,r4iwstat,6,1037
ELSA,r4iwstat,5,589
ELSA,r4dressa,0,9594
ELSA,r4dressa,<NA>,10629
ELSA,r4dressa,1,1447
ELSA,r4dressa,-18,7
ELSA,r4dressa,-4,2
ELSA,r4batha,0,9941
ELSA,r4batha,<NA>,10629
ELSA,r4batha,1,1100
ELSA,r4batha,-18,7
ELSA,r4batha,-4,2
ELSA,r4eata,0,10771
ELSA,r4eata,<NA>,10629
ELSA,r4eata,1,270
ELSA,r4eata,-18,7
ELSA,r4eata,-4,2
ELSA,r4beda,0,10425
ELSA,r4beda,<NA>,10629
ELSA,r4beda,1,616
ELSA,r4beda,-18,7
ELSA,r4beda,-4,2
ELSA,r4toilta,0,10663
ELSA,r4toilta,<NA>,10629
ELSA,r4toilta,1,378
