"source_role","source_path","variable","storage_class","variable_label","value_labels","search_text"
"working_wave5","restricted_source/charls_wave5.dta","ramischlth","haven_labelled/vctrs_vctr/double","16岁前是否曾因健康问题缺课一个月或更长时间","否=0 | 是=1","ramischlth 16岁前是否曾因健康问题缺课一个月或更长时间"
"working_wave5","restricted_source/charls_wave5.dta","rafinacom","numeric","17岁前家庭财务状况","","rafinacom 17岁前家庭财务状况"
"working_wave5","restricted_source/charls_wave5.dta","nation","haven_labelled/vctrs_vctr/double","是否汉族","否=0 | 是=1","nation 是否汉族"
"working_wave5","restricted_source/charls_wave5.dta","hibpe","haven_labelled/vctrs_vctr/double","高血压","否=0 | 是=1","hibpe 高血压"
"working_wave5","restricted_source/charls_wave5.dta","dyslipe","haven_labelled/vctrs_vctr/double","血脂异常","否=0 | 是=1","dyslipe 血脂异常"
"working_wave5","restricted_source/charls_wave5.dta","diabe","haven_labelled/vctrs_vctr/double","糖尿病","否=0 | 是=1","diabe 糖尿病"
"working_wave5","restricted_source/charls_wave5.dta","cancre","haven_labelled/vctrs_vctr/double","癌症","否=0 | 是=1","cancre 癌症"
"working_wave5","restricted_source/charls_wave5.dta","lunge","haven_labelled/vctrs_vctr/double","肺病","否=0 | 是=1","lunge 肺病"
"working_wave5","restricted_source/charls_wave5.dta","livere","haven_labelled/vctrs_vctr/double","肝脏疾病","否=0 | 是=1","livere 肝脏疾病"
"working_wave5","restricted_source/charls_wave5.dta","hearte","haven_labelled/vctrs_vctr/double","心脏病","否=0 | 是=1","hearte 心脏病"
"working_wave5","restricted_source/charls_wave5.dta","stroke","haven_labelled/vctrs_vctr/double","中风","否=0 | 是=1","stroke 中风"
"working_wave5","restricted_source/charls_wave5.dta","kidneye","haven_labelled/vctrs_vctr/double","肾脏疾病","否=0 | 是=1","kidneye 肾脏疾病"
"working_wave5","restricted_source/charls_wave5.dta","digeste","haven_labelled/vctrs_vctr/double","胃病","否=0 | 是=1","digeste 胃病"
"working_wave5","restricted_source/charls_wave5.dta","psyche","haven_labelled/vctrs_vctr/double","精神疾病","否=0 | 是=1","psyche 精神疾病"
"working_wave5","restricted_source/charls_wave5.dta","memrye","haven_labelled/vctrs_vctr/double","记忆疾病","否=0 | 是=1","memrye 记忆疾病"
"working_wave5","restricted_source/charls_wave5.dta","arthre","haven_labelled/vctrs_vctr/double","关节炎","否=0 | 是=1","arthre 关节炎"
"working_wave5","restricted_source/charls_wave5.dta","asthmae","haven_labelled/vctrs_vctr/double","哮喘病","否=0 | 是=1","asthmae 哮喘病"
"working_wave5","restricted_source/charls_wave5.dta","hibpe_self","haven_labelled/vctrs_vctr/double","是否知道自己有高血压","否=0 | 是=1","hibpe_self 是否知道自己有高血压"
"working_wave5","restricted_source/charls_wave5.dta","lunge_self","haven_labelled/vctrs_vctr/double","是否知道自己有肺部疾病","否=0 | 是=1","lunge_self 是否知道自己有肺部疾病"
"working_wave5","restricted_source/charls_wave5.dta","psyche_self","haven_labelled/vctrs_vctr/double","是否知道自己有情感精神疾病","否=0 | 是=1","psyche_self 是否知道自己有情感精神疾病"
"working_wave5","restricted_source/charls_wave5.dta","doctor_time","numeric","过去一个月门诊次数","","doctor_time 过去一个月门诊次数"
"working_wave5","restricted_source/charls_wave5.dta","hospital_time","numeric","过去一年住院次数","","hospital_time 过去一年住院次数"
"working_wave5","restricted_source/charls_wave5.dta","da042s1","haven_labelled/vctrs_vctr/double","头疼","否=0 | 是=1","da042s1 头疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s2","haven_labelled/vctrs_vctr/double","肩膀疼","否=0 | 是=1","da042s2 肩膀疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s3","haven_labelled/vctrs_vctr/double","胳膊疼","否=0 | 是=1","da042s3 胳膊疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s4","haven_labelled/vctrs_vctr/double","手腕疼","否=0 | 是=1","da042s4 手腕疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s5","haven_labelled/vctrs_vctr/double","手指疼","否=0 | 是=1","da042s5 手指疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s6","haven_labelled/vctrs_vctr/double","胸疼","否=0 | 是=1","da042s6 胸疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s7","haven_labelled/vctrs_vctr/double","胃疼","否=0 | 是=1","da042s7 胃疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s8","haven_labelled/vctrs_vctr/double","背疼","否=0 | 是=1","da042s8 背疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s9","haven_labelled/vctrs_vctr/double","腰疼","否=0 | 是=1","da042s9 腰疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s10","haven_labelled/vctrs_vctr/double","臀部疼","否=0 | 是=1","da042s10 臀部疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s11","haven_labelled/vctrs_vctr/double","腿疼","否=0 | 是=1","da042s11 腿疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s12","haven_labelled/vctrs_vctr/double","膝盖疼","否=0 | 是=1","da042s12 膝盖疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s13","haven_labelled/vctrs_vctr/double","脚踝疼","否=0 | 是=1","da042s13 脚踝疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s14","haven_labelled/vctrs_vctr/double","脚趾头疼","否=0 | 是=1","da042s14 脚趾头疼"
"working_wave5","restricted_source/charls_wave5.dta","da042s15","haven_labelled/vctrs_vctr/double","脖子疼","否=0 | 是=1","da042s15 脖子疼"
"working_wave5","restricted_source/charls_wave5.dta","sleep_night","numeric","晚上睡眠时间","","sleep_night 晚上睡眠时间"
"working_wave5","restricted_source/charls_wave5.dta","sleep_nap","numeric","午睡时间","","sleep_nap 午睡时间"
"working_wave5","restricted_source/charls_wave5.dta","vgactx_c","numeric","每周剧烈活动的天数","","vgactx_c 每周剧烈活动的天数"
"working_wave5","restricted_source/charls_wave5.dta","mdactx_c","numeric","每周中等身体活动的天数","","mdactx_c 每周中等身体活动的天数"
"working_wave5","restricted_source/charls_wave5.dta","ltactx_c","numeric","每周轻度身体活动的天数","","ltactx_c 每周轻度身体活动的天数"
"working_wave5","restricted_source/charls_wave5.dta","act_1","haven_labelled/vctrs_vctr/double","串门、跟朋友交往","否=0 | 是=1","act_1 串门、跟朋友交往"
"working_wave5","restricted_source/charls_wave5.dta","act_2","haven_labelled/vctrs_vctr/double","打麻将、下棋、打牌、去社区活动室","否=0 | 是=1","act_2 打麻将、下棋、打牌、去社区活动室"
"working_wave5","restricted_source/charls_wave5.dta","act_3","haven_labelled/vctrs_vctr/double","无偿向与您不住在一起的亲人、朋友或者邻居提供帮助","否=0 | 是=1","act_3 无偿向与您不住在一起的亲人、朋友或者邻居提供帮助"
"working_wave5","restricted_source/charls_wave5.dta","act_4","haven_labelled/vctrs_vctr/double","去公园或者其他场所跳舞、健身、练气功等","否=0 | 是=1","act_4 去公园或者其他场所跳舞、健身、练气功等"
"working_wave5","restricted_source/charls_wave5.dta","act_5","haven_labelled/vctrs_vctr/double","参加社团组织活动","否=0 | 是=1","act_5 参加社团组织活动"
"working_wave5","restricted_source/charls_wave5.dta","act_6","haven_labelled/vctrs_vctr/double","志愿者活动或者慈善活动","否=0 | 是=1","act_6 志愿者活动或者慈善活动"
"working_wave5","restricted_source/charls_wave5.dta","act_7","haven_labelled/vctrs_vctr/double","上学或者参加培训课程","否=0 | 是=1","act_7 上学或者参加培训课程"
"working_wave5","restricted_source/charls_wave5.dta","act_8","haven_labelled/vctrs_vctr/double","其他社交","否=0 | 是=1","act_8 其他社交"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_1","numeric","频率/串门、跟朋友交往","","freq_act_1 频率/串门、跟朋友交往"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_2","numeric","频率/打麻将、下棋、打牌、去社区活动室","","freq_act_2 频率/打麻将、下棋、打牌、去社区活动室"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_3","numeric","频率/无偿向与您不住在一起的亲人、朋友或者邻居提供帮助","","freq_act_3 频率/无偿向与您不住在一起的亲人、朋友或者邻居提供帮助"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_4","numeric","频率/去公园或者其他场所跳舞、健身、练气功等","","freq_act_4 频率/去公园或者其他场所跳舞、健身、练气功等"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_5","numeric","频率/参加社团组织活动","","freq_act_5 频率/参加社团组织活动"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_6","numeric","频率/志愿者活动或者慈善活动","","freq_act_6 频率/志愿者活动或者慈善活动"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_7","numeric","频率/上学或者参加培训课程","","freq_act_7 频率/上学或者参加培训课程"
"working_wave5","restricted_source/charls_wave5.dta","freq_act_8","numeric","频率/其他社交","","freq_act_8 频率/其他社交"
"working_wave5","restricted_source/charls_wave5.dta","dressa","haven_labelled/vctrs_vctr/double","ADL/穿衣","否=0 | 是=1","dressa ADL/穿衣"
"working_wave5","restricted_source/charls_wave5.dta","batha","haven_labelled/vctrs_vctr/double","ADL/沐浴","否=0 | 是=1","batha ADL/沐浴"
"working_wave5","restricted_source/charls_wave5.dta","eata","haven_labelled/vctrs_vctr/double","ADL/进食","否=0 | 是=1","eata ADL/进食"
"working_wave5","restricted_source/charls_wave5.dta","beda","haven_labelled/vctrs_vctr/double","ADL/上下床","否=0 | 是=1","beda ADL/上下床"
"working_wave5","restricted_source/charls_wave5.dta","toilta","haven_labelled/vctrs_vctr/double","ADL/使用厕所","否=0 | 是=1","toilta ADL/使用厕所"
"working_wave5","restricted_source/charls_wave5.dta","urina","haven_labelled/vctrs_vctr/double","ADL/控制排尿","否=0 | 是=1","urina ADL/控制排尿"
"working_wave5","restricted_source/charls_wave5.dta","housewka","haven_labelled/vctrs_vctr/double","IADL/打扫房屋","否=0 | 是=1","housewka IADL/打扫房屋"
"working_wave5","restricted_source/charls_wave5.dta","mealsa","haven_labelled/vctrs_vctr/double","IADL/准备饭菜","否=0 | 是=1","mealsa IADL/准备饭菜"
"working_wave5","restricted_source/charls_wave5.dta","shopa","haven_labelled/vctrs_vctr/double","IADL/购买食品杂货","否=0 | 是=1","shopa IADL/购买食品杂货"
"working_wave5","restricted_source/charls_wave5.dta","phonea","haven_labelled/vctrs_vctr/double","IADL/打电话","否=0 | 是=1","phonea IADL/打电话"
"working_wave5","restricted_source/charls_wave5.dta","medsa","haven_labelled/vctrs_vctr/double","IADL/服用药物","否=0 | 是=1","medsa IADL/服用药物"
"working_wave5","restricted_source/charls_wave5.dta","moneya","haven_labelled/vctrs_vctr/double","IADL/管理资金","否=0 | 是=1","moneya IADL/管理资金"
"working_wave5","restricted_source/charls_wave5.dta","work","haven_labelled/vctrs_vctr/double","是否工作","否=0 | 是=1","work 是否工作"
"working_wave5","restricted_source/charls_wave5.dta","retire","haven_labelled/vctrs_vctr/double","是否退休","否=0 | 是=1","retire 是否退休"
"working_wave5","restricted_source/charls_wave5.dta","iwy","numeric","调查年份","","iwy 调查年份"
"working_wave5","restricted_source/charls_wave5.dta","iwm","numeric","调查月份","","iwm 调查月份"
"working_wave5","restricted_source/charls_wave5.dta","hrural","haven_labelled/vctrs_vctr/double","居住在农村或城市","城市=0 | 农村=1","hrural 居住在农村或城市"
"working_wave5","restricted_source/charls_wave5.dta","marry","haven_labelled/vctrs_vctr/double","婚姻","已婚=1 | 已婚但不住在一起=2 | 同居=3 | 分居=4 | 离异=5 | 丧偶=7 | 从未结婚=8","marry 婚姻"
"working_wave5","restricted_source/charls_wave5.dta","hukou","haven_labelled/vctrs_vctr/double","户口4分类","农业户口=1 | 非农业户口=2 | 统一户口=3 | 没有户口=4","hukou 户口4分类"
"working_wave5","restricted_source/charls_wave5.dta","srh","haven_labelled/vctrs_vctr/double","自评健康","很差=1 | 较差=2 | 一般=3 | 较好=4 | 很好=5","srh 自评健康"
"working_wave5","restricted_source/charls_wave5.dta","adlab_c","numeric","ADL(6项有困难)","","adlab_c ADL(6项有困难)"
"working_wave5","restricted_source/charls_wave5.dta","iadl","numeric","IADL(5项有困难)","","iadl IADL(5项有困难)"
"working_wave5","restricted_source/charls_wave5.dta","parkinson","haven_labelled/vctrs_vctr/double","帕金森2020年独有","否=0 | 是=1","parkinson 帕金森2020年独有"
"working_wave5","restricted_source/charls_wave5.dta","vgact_c","haven_labelled/vctrs_vctr/double","重度身体活动","否=0 | 是=1","vgact_c 重度身体活动"
"working_wave5","restricted_source/charls_wave5.dta","mdact_c","haven_labelled/vctrs_vctr/double","中度身体活动","否=0 | 是=1","mdact_c 中度身体活动"
"working_wave5","restricted_source/charls_wave5.dta","ltact_c","haven_labelled/vctrs_vctr/double","轻度身体活动","否=0 | 是=1","ltact_c 轻度身体活动"
"working_wave5","restricted_source/charls_wave5.dta","drinkl","haven_labelled/vctrs_vctr/double","现在是否饮酒","否=0 | 是=1","drinkl 现在是否饮酒"
"working_wave5","restricted_source/charls_wave5.dta","smokev","haven_labelled/vctrs_vctr/double","是否吸过烟","否=0 | 是=1","smokev 是否吸过烟"
"working_wave5","restricted_source/charls_wave5.dta","smoken","haven_labelled/vctrs_vctr/double","现在是否吸烟","否=0 | 是=1","smoken 现在是否吸烟"
"working_wave5","restricted_source/charls_wave5.dta","smokef","numeric","吸烟数量","","smokef 吸烟数量"
"working_wave5","restricted_source/charls_wave5.dta","doctor","haven_labelled/vctrs_vctr/double","过去一个月是否门诊","否=0 | 是=1","doctor 过去一个月是否门诊"
"working_wave5","restricted_source/charls_wave5.dta","hospital","haven_labelled/vctrs_vctr/double","过去一年是否住院","否=0 | 是=1","hospital 过去一年是否住院"
"working_wave5","restricted_source/charls_wave5.dta","pension","haven_labelled/vctrs_vctr/double","是否有养老保险","否=0 | 是=1","pension 是否有养老保险"
"working_wave5","restricted_source/charls_wave5.dta","ins","haven_labelled/vctrs_vctr/double","是否有医疗保险","否=0 | 是=1","ins 是否有医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","ea001s1","haven_labelled/vctrs_vctr/double","城镇职工医疗保险","否=0 | 是=1","ea001s1 城镇职工医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","ea001s2","haven_labelled/vctrs_vctr/double","城乡居民医疗保险","否=0 | 是=1","ea001s2 城乡居民医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","ea001s3","haven_labelled/vctrs_vctr/double","城镇居民医疗保险","否=0 | 是=1","ea001s3 城镇居民医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","ea001s4","haven_labelled/vctrs_vctr/double","新型农村合作医疗保险","否=0 | 是=1","ea001s4  新型农村合作医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","ea001s5","haven_labelled/vctrs_vctr/double","公费医疗","否=0 | 是=1","ea001s5 公费医疗"
"working_wave5","restricted_source/charls_wave5.dta","ea001s11","haven_labelled/vctrs_vctr/double","其他医疗保险","否=0 | 是=1","ea001s11 其他医疗保险"
"working_wave5","restricted_source/charls_wave5.dta","slfmem","haven_labelled/vctrs_vctr/double","自评记忆","不好=1 | 一般=2 | 好=3 | 很好=4 | 极好=5","slfmem 自评记忆"
"working_wave5","restricted_source/charls_wave5.dta","imrc","numeric","认知/即时记忆","","imrc 认知/即时记忆"
"working_wave5","restricted_source/charls_wave5.dta","dlrc","numeric","认知/延迟记忆","","dlrc 认知/延迟记忆"
"working_wave5","restricted_source/charls_wave5.dta","tr20","numeric","认知/单词记忆得分","","tr20 认知/单词记忆得分"
"working_wave5","restricted_source/charls_wave5.dta","recall","numeric","情景记忆(0~10分)","","recall 情景记忆(0~10分)"
"working_wave5","restricted_source/charls_wave5.dta","mo","numeric","认知/月","","mo 认知/月"
"working_wave5","restricted_source/charls_wave5.dta","dy","numeric","认知/日","","dy 认知/日"
"working_wave5","restricted_source/charls_wave5.dta","yr","numeric","认知/年","","yr 认知/年"
"working_wave5","restricted_source/charls_wave5.dta","dw","numeric","认知/周","","dw 认知/周"
"working_wave5","restricted_source/charls_wave5.dta","ds","numeric","认知/季节","","ds 认知/季节"
"working_wave5","restricted_source/charls_wave5.dta","orient","numeric","认知/日期","","orient 认知/日期"
"working_wave5","restricted_source/charls_wave5.dta","draw","numeric","认知/绘画","","draw 认知/绘画"
"working_wave5","restricted_source/charls_wave5.dta","ser7","numeric","认知/序列7","","ser7 认知/序列7"
"working_wave5","restricted_source/charls_wave5.dta","executive","numeric","心智状况(0~11分)","","executive 心智状况(0~11分)"
"working_wave5","restricted_source/charls_wave5.dta","total_cognition","numeric","认知能力(0~21分,越大越好)","","total_cognition 认知能力(0~21分,越大越好)"
"working_wave5","restricted_source/charls_wave5.dta","socwk","haven_labelled/vctrs_vctr/double","是否每月参与社交","否=0 | 是=1","socwk 是否每月参与社交"
"working_wave5","restricted_source/charls_wave5.dta","family_size","numeric","家庭规模","","family_size 家庭规模"
"working_wave5","restricted_source/charls_wave5.dta","hson","numeric","儿子数量","","hson 儿子数量"
"working_wave5","restricted_source/charls_wave5.dta","hdau","numeric","女儿数量","","hdau 女儿数量"
"working_wave5","restricted_source/charls_wave5.dta","hchild","numeric","健在子女数","","hchild 健在子女数"
"working_wave5","restricted_source/charls_wave5.dta","hcoresd","haven_labelled/vctrs_vctr/double","是否与子女同住","否=0 | 是=1","hcoresd 是否与子女同住"
"working_wave5","restricted_source/charls_wave5.dta","kcntf","haven_labelled/vctrs_vctr/double","是否每周与子女进行面对面接触","否=0 | 是=1","kcntf 是否每周与子女进行面对面接触"
"working_wave5","restricted_source/charls_wave5.dta","kcntpm","haven_labelled/vctrs_vctr/double","是否每周通过电话、短信、邮件或电子邮件与子女联系","否=0 | 是=1","kcntpm 是否每周通过电话、短信、邮件或电子邮件与子女联系"
"working_wave5","restricted_source/charls_wave5.dta","kcnt","haven_labelled/vctrs_vctr/double","是否每周亲自或通过电话、短信、邮件或电子邮件与他们的任何子女联系","否=0 | 是=1","kcnt 是否每周亲自或通过电话、短信、邮件或电子邮件与他们的任何子女联系"
"working_wave5","restricted_source/charls_wave5.dta","hctot","numeric","家庭总消费","","hctot 家庭总消费"
"working_wave5","restricted_source/charls_wave5.dta","hhcperc","numeric","家庭人均消费","","hhcperc 家庭人均消费"
"working_wave5","restricted_source/charls_wave5.dta","fcamt","numeric","过去一年中从子女/孙辈那里获得的经济援助金额","","fcamt 过去一年中从子女/孙辈那里获得的经济援助金额"
"working_wave5","restricted_source/charls_wave5.dta","fcany","haven_labelled/vctrs_vctr/double","过去一年中是否从其子女/孙辈那里获得任何经济援助","否=0 | 是=1","fcany 过去一年中是否从其子女/孙辈那里获得任何经济援助"
"working_wave5","restricted_source/charls_wave5.dta","tcamt","numeric","过去一年中向子女/孙辈提供的经济援助金额","","tcamt 过去一年中向子女/孙辈提供的经济援助金额"
"working_wave5","restricted_source/charls_wave5.dta","tcany","haven_labelled/vctrs_vctr/double","过去一年是否向其子女/孙辈提供任何经济援助","否=0 | 是=1","tcany 过去一年是否向其子女/孙辈提供任何经济援助"
"working_wave5","restricted_source/charls_wave5.dta","income_total","numeric","家庭总收入","","income_total 家庭总收入"
"working_wave5","restricted_source/charls_wave5.dta","depresl","numeric","过去一周感到抑郁的频率","","depresl 过去一周感到抑郁的频率"
"working_wave5","restricted_source/charls_wave5.dta","effortl","numeric","过去一周做任何事都很费劲的频率","","effortl 过去一周做任何事都很费劲的频率"
"working_wave5","restricted_source/charls_wave5.dta","sleeprl","numeric","过去一周感到睡眠不安的频率","","sleeprl 过去一周感到睡眠不安的频率"
"working_wave5","restricted_source/charls_wave5.dta","whappyl","numeric","过去一周感到快乐的频率","","whappyl 过去一周感到快乐的频率"
"working_wave5","restricted_source/charls_wave5.dta","flonel","numeric","过去一周感到孤独的频率","","flonel 过去一周感到孤独的频率"
"working_wave5","restricted_source/charls_wave5.dta","botherl","numeric","过去一周因一些小事而烦恼的频率","","botherl 过去一周因一些小事而烦恼的频率"
"working_wave5","restricted_source/charls_wave5.dta","goingl","numeric","过去一周无法继续我的生活的频率","","goingl 过去一周无法继续我的生活的频率"
"working_wave5","restricted_source/charls_wave5.dta","mindtsl","numeric","过去一周感到难以集中注意力的频率","","mindtsl 过去一周感到难以集中注意力的频率"
"working_wave5","restricted_source/charls_wave5.dta","fhopel","numeric","过去一周对未来抱有希望的频率","","fhopel 过去一周对未来抱有希望的频率"
"working_wave5","restricted_source/charls_wave5.dta","fearll","numeric","过去一周感到恐惧的频率","","fearll 过去一周感到恐惧的频率"
"working_wave5","restricted_source/charls_wave5.dta","cesd10","numeric","心理健康(30分,越大越差)","","cesd10 心理健康(30分,越大越差)"
"working_wave5","restricted_source/charls_wave5.dta","retmon","numeric","正式退休月份","","retmon 正式退休月份"
"working_wave5","restricted_source/charls_wave5.dta","retyr","numeric","正式退休年份","","retyr 正式退休年份"
"working_wave5","restricted_source/charls_wave5.dta","fall_down","haven_labelled/vctrs_vctr/double","跌倒","否=0 | 是=1","fall_down 跌倒"
"working_wave5","restricted_source/charls_wave5.dta","hip","haven_labelled/vctrs_vctr/double","髋骨骨折","否=0 | 是=1","hip 髋骨骨折"
"working_wave5","restricted_source/charls_wave5.dta","sati_child","haven_labelled/vctrs_vctr/double","子女关系满意度","一点也不满意=1 | 不太满意=2 | 比较满意=3 | 非常满意=4 | 极其满意=5","sati_child 子女关系满意度"
"working_wave5","restricted_source/charls_wave5.dta","satlife","haven_labelled/vctrs_vctr/double","生活满意度","一点也不满意=1 | 不太满意=2 | 比较满意=3 | 非常满意=4 | 极其满意=5","satlife 生活满意度"
"working_wave5","restricted_source/charls_wave5.dta","satlifez","numeric","生活满意度z评分","","satlifez 生活满意度z评分"
"working_wave5","restricted_source/charls_wave5.dta","clean_heat","haven_labelled/vctrs_vctr/double","取暖使用污染燃料","否=0 | 是=1","clean_heat 取暖使用污染燃料"
"working_wave5","restricted_source/charls_wave5.dta","clean_cook","haven_labelled/vctrs_vctr/double","做饭使用污染燃料","否=0 | 是=1","clean_cook 做饭使用污染燃料"
"working_wave5","restricted_source/charls_wave5.dta","room","numeric","房间数","","room 房间数"
"working_wave5","restricted_source/charls_wave5.dta","water","haven_labelled/vctrs_vctr/double","是否有自来水","否=0 | 是=1","water 是否有自来水"
"working_wave5","restricted_source/charls_wave5.dta","electricity","haven_labelled/vctrs_vctr/double","是否有电","否=0 | 是=1","electricity 是否有电"
"working_wave5","restricted_source/charls_wave5.dta","toilet","haven_labelled/vctrs_vctr/double","厕所卫生差","否=0 | 是=1","toilet 厕所卫生差"
"working_wave5","restricted_source/charls_wave5.dta","build","haven_labelled/vctrs_vctr/double","建筑材料差","否=0 | 是=1","build 建筑材料差"
"working_wave5","restricted_source/charls_wave5.dta","province","character","省份","","province 省份"
"working_wave5","restricted_source/charls_wave5.dta","city","character","城市","","city 城市"
"working_wave5","restricted_source/charls_wave5.dta","iwstat","haven_labelled/vctrs_vctr/double","本期是否死亡","否=0 | 是=1","iwstat 本期是否死亡"
"working_wave5","restricted_source/charls_wave5.dta","age","numeric","年龄","","age 年龄"
"working_wave5","restricted_source/charls_wave5.dta","raeduc_c","haven_labelled/vctrs_vctr/double","教育","未完成小学=1 | 小学=2 | 中学=3 | 高中及以上=4","raeduc_c 教育"
"working_wave5","restricted_source/charls_wave5.dta","raeducl","haven_labelled/vctrs_vctr/double","教育统一分类","低于初中学历=1 | 高中和职业培训=2 | 高等教育=3","raeducl 教育统一分类"
"working_wave5","restricted_source/charls_wave5.dta","rural2","haven_labelled/vctrs_vctr/double","户口2分类","城市=0 | 农村=1","rural2 户口2分类"
"working_wave5","restricted_source/charls_wave5.dta","phy_acta","haven_labelled/vctrs_vctr/double","是否每周任何身体活动","否=0 | 是=1","phy_acta 是否每周任何身体活动"
"working_wave5","restricted_source/charls_wave5.dta","phy_actb","haven_labelled/vctrs_vctr/double","是否每周中等或者剧烈身体活动","否=0 | 是=1","phy_actb 是否每周中等或者剧烈身体活动"
"working_wave5","restricted_source/charls_wave5.dta","totmet","numeric","身体活动产生的总代谢量","","totmet 身体活动产生的总代谢量"
"working_wave5","restricted_source/charls_wave5.dta","chronic_num","numeric","慢性病数量","","chronic_num 慢性病数量"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_1_","numeric","高血压_患病年份","","da009_1_1_ 高血压_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_2_","numeric","血脂异常_患病年份","","da009_1_2_ 血脂异常_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_3_","numeric","糖尿病_患病年份","","da009_1_3_ 糖尿病_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_4_","numeric","癌症_患病年份","","da009_1_4_ 癌症_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_5_","numeric","肺部_患病年份","","da009_1_5_ 肺部_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_6_","numeric","肝脏疾病_患病年份","","da009_1_6_ 肝脏疾病_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_7_","numeric","心脏病_患病年份","","da009_1_7_ 心脏病_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_8_","numeric","中风_患病年份","","da009_1_8_ 中风_患病年份"
"working_wave5","restricted_source/charls_wave5.dta","da009_1_9_","numeric","肾脏疾病_患病年份","","da009_1_9_ 肾脏疾病_患病年份"
