wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
6,85700,277000,weighted_empirical,1812,1135,17,HRS
7,91600,330600,weighted_empirical,1154,724,17,HRS
8,97900,345000,weighted_empirical,925,596,17,HRS
9,86000,312500,weighted_empirical,990,618,17,HRS
10,54500,271500,weighted_empirical,1873,1201,17,HRS
11,67500,283501.97647929,weighted_empirical,1323,840,17,HRS
12,56000,339000,weighted_empirical,1321,834,17,HRS
13,70000,305000,weighted_empirical,1674,1027,17,HRS
14,62000,313000,weighted_empirical,1218,772,17,HRS
15,84200,371000,weighted_empirical,1299,832,17,HRS
2,51000,166000,weighted_empirical,11011,6959,18,HRS
3,78100,202000,weighted_empirical,1660,1074,18,HRS
4,57000,205000,weighted_empirical,3789,2449,18,HRS
5,69500,224000,weighted_empirical,1623,1018,18,HRS
6,86000,275000,weighted_empirical,1833,1128,18,HRS
7,88700,330000,weighted_empirical,1079,684,18,HRS
8,91750,348000,weighted_empirical,943,599,18,HRS
9,90000,317600,weighted_empirical,988,633,18,HRS
10,54500,286000,weighted_empirical,2009,1233,18,HRS
11,71000,284000,weighted_empirical,1412,870,18,HRS
12,58000,305800,weighted_empirical,1294,833,18,HRS
13,76500,342000,weighted_empirical,1746,1082,18,HRS
14,73000,353000,weighted_empirical,1160,762,18,HRS
15,1e+05,405003,weighted_empirical,1420,844,18,HRS
2,50200,161720,weighted_empirical,11000,6963,19,HRS
3,80000,204500,weighted_empirical,1821,1150,19,HRS
4,63200,203500,weighted_empirical,3914,2472,19,HRS
5,68500,224800,weighted_empirical,1576,987,19,HRS
6,75000,261700,weighted_empirical,1801,1112,19,HRS
7,86000,299500,weighted_empirical,1063,680,19,HRS
8,83500,316000,weighted_empirical,934,593,19,HRS
9,79000,311000,weighted_empirical,1003,627,19,HRS
10,58600,276500,weighted_empirical,1986,1236,19,HRS
11,80000,3e+05,weighted_empirical,1395,855,19,HRS
12,58800,352000,weighted_empirical,1327,833,19,HRS
13,70430,316400,weighted_empirical,1608,1020,19,HRS
14,73000,370000,weighted_empirical,1230,776,19,HRS
15,101550,377250,weighted_empirical,1309,844,19,HRS
2,50500,164000,weighted_empirical,11089,6946,20,HRS
3,71000,197000,weighted_empirical,1825,1150,20,HRS
4,64200,208000,weighted_empirical,3874,2467,20,HRS
5,70000,207000,weighted_empirical,1564,972,20,HRS
6,85450,286000,weighted_empirical,1804,1152,20,HRS
7,90000,352000,weighted_empirical,1136,698,20,HRS
8,73200,320000,weighted_empirical,971,624,20,HRS
9,87000,316200,weighted_empirical,1003,610,20,HRS
10,54500,269000,weighted_empirical,1925,1211,20,HRS
11,81600,296000,weighted_empirical,1304,831,20,HRS
12,56000,321000,weighted_empirical,1285,823,20,HRS
13,68000,319000,weighted_empirical,1604,1015,20,HRS
14,66000,353000,weighted_empirical,1198,727,20,HRS
15,86700,393000,weighted_empirical,1385,866,20,HRS
2,52000,167496.424810668,weighted_empirical,10959,6977,21,HRS
3,69060,209000,weighted_empirical,1767,1110,21,HRS
4,63500,202200,weighted_empirical,3865,2473,21,HRS
5,66800,226825,weighted_empirical,1564,996,21,HRS
6,80400,274000,weighted_empirical,1728,1111,21,HRS
7,95000,325000,weighted_empirical,1047,670,21,HRS
8,93500,326300,weighted_empirical,1000,608,21,HRS
9,84000,326000,weighted_empirical,1085,654,21,HRS
10,57050,267000,weighted_empirical,1967,1232,21,HRS
11,69523,275000,weighted_empirical,1360,868,21,HRS
12,39500,246000,weighted_empirical,1329,856,21,HRS
13,70000,319000,weighted_empirical,1743,1091,21,HRS
14,73000,385000,weighted_empirical,1171,746,21,HRS
15,69000,3e+05,weighted_empirical,1382,862,21,HRS
2,52500,167200,weighted_empirical,10911,6974,22,HRS
3,75500,197000,weighted_empirical,1757,1123,22,HRS
4,61700,204400,weighted_empirical,3811,2370,22,HRS
5,77000,234000,weighted_empirical,1597,1017,22,HRS
6,69800,276600,weighted_empirical,1758,1133,22,HRS
7,97000,330000,weighted_empirical,1068,702,22,HRS
8,82000,310000,weighted_empirical,1003,621,22,HRS
9,100100,387000,weighted_empirical,1032,645,22,HRS
10,54000,285000,weighted_empirical,1987,1249,22,HRS
11,80000,288000,weighted_empirical,1360,863,22,HRS
12,52000,277700,weighted_empirical,1306,839,22,HRS
13,88260,319000,weighted_empirical,1734,1101,22,HRS
14,86000,407000,weighted_empirical,1258,750,22,HRS
15,72600,417000,weighted_empirical,1385,856,22,HRS
2,49800,168500,weighted_empirical,11117,6985,23,HRS
3,76500,203801.447686761,weighted_empirical,1751,1119,23,HRS
4,61700,206000,weighted_empirical,3858,2425,23,HRS
5,73000,246000,weighted_empirical,1653,1035,23,HRS
6,87000,286500,weighted_empirical,1772,1132,23,HRS
7,97000,330000,weighted_empirical,1121,692,23,HRS
8,90705.6365809907,380000,weighted_empirical,977,630,23,HRS
9,95000,352000,weighted_empirical,994,641,23,HRS
10,50900,275000,weighted_empirical,1902,1199,23,HRS
11,73500,282500,weighted_empirical,1300,858,23,HRS
12,56000,288200,weighted_empirical,1325,865,23,HRS
13,77300,325000,weighted_empirical,1645,1035,23,HRS
14,73300,388000,weighted_empirical,1187,752,23,HRS
15,113000,425000,weighted_empirical,1365,879,23,HRS
2,51000,163600,weighted_empirical,10946,6943,24,HRS
3,70000,203000,weighted_empirical,1843,1154,24,HRS
4,63800,210000,weighted_empirical,3881,2471,24,HRS
5,69000,224500,weighted_empirical,1633,1039,24,HRS
6,82800,272400,weighted_empirical,1723,1112,24,HRS
7,73000,281000,weighted_empirical,1117,692,24,HRS
8,87600,316000,weighted_empirical,979,609,24,HRS
9,103000,316100,weighted_empirical,1013,649,24,HRS
10,53200,270000,weighted_empirical,1972,1228,24,HRS
11,70000,295500,weighted_empirical,1343,862,24,HRS
12,54000,324000,weighted_empirical,1372,853,24,HRS
13,75000,325000,weighted_empirical,1659,1078,24,HRS
14,85000,384000,weighted_empirical,1160,752,24,HRS
15,86700,384000,weighted_empirical,1326,848,24,HRS
2,54000,163900,weighted_empirical,11163,7018,25,HRS
3,73000,202000,weighted_empirical,1821,1142,25,HRS
4,56500,198000,weighted_empirical,3850,2424,25,HRS
5,64000,250000,weighted_empirical,1526,984,25,HRS
6,76000,292500,weighted_empirical,1773,1123,25,HRS
7,95000,331000,weighted_empirical,1067,684,25,HRS
8,72000,324000,weighted_empirical,903,586,25,HRS
9,109800,331500,weighted_empirical,1028,646,25,HRS
10,51226.0148172832,263000,weighted_empirical,1928,1240,25,HRS
11,65000,282500,weighted_empirical,1432,845,25,HRS
12,84000,328000,weighted_empirical,1315,830,25,HRS
13,66500,300959.30623699,weighted_empirical,1701,1053,25,HRS
14,85000,344400,weighted_empirical,1130,730,25,HRS
15,81000,408000,weighted_empirical,1330,844,25,HRS
2,51200,169000,weighted_empirical,11083,6994,26,HRS
3,72000,213000,weighted_empirical,1771,1133,26,HRS
4,58500,205000,weighted_empirical,3853,2448,26,HRS
5,69000,241000,weighted_empirical,1570,1001,26,HRS
6,84017,275000,weighted_empirical,1805,1134,26,HRS
7,89800,323500,weighted_empirical,1056,657,26,HRS
8,90705.6365809907,351300,weighted_empirical,943,591,26,HRS
9,96800,338000,weighted_empirical,994,628,26,HRS
10,51400,257500,weighted_empirical,1922,1221,26,HRS
11,73500,277000,weighted_empirical,1326,851,26,HRS
12,55000,324000,weighted_empirical,1327,863,26,HRS
13,75000,321000,weighted_empirical,1676,1039,26,HRS
14,57000,344400,weighted_empirical,1226,762,26,HRS
15,70000,402000,weighted_empirical,1415,881,26,HRS
2,50000,165000,weighted_empirical,10968,6987,27,HRS
3,69200,204000,weighted_empirical,1787,1131,27,HRS
4,64000,212000,weighted_empirical,3927,2478,27,HRS
5,75300,258000,weighted_empirical,1605,1019,27,HRS
6,84500,286500,weighted_empirical,1711,1121,27,HRS
7,90000,323500,weighted_empirical,1112,707,27,HRS
8,93500,360500,weighted_empirical,984,628,27,HRS
9,84200,311000,weighted_empirical,1001,630,27,HRS
10,50900,287250,weighted_empirical,1978,1237,27,HRS
11,63500,282500,weighted_empirical,1307,820,27,HRS
12,77300,357000,weighted_empirical,1293,835,27,HRS
13,60800,308000,weighted_empirical,1684,1064,27,HRS
14,55000,356000,weighted_empirical,1228,768,27,HRS
15,78600,371000,weighted_empirical,1382,860,27,HRS
2,54000,167000,weighted_empirical,11018,6918,28,HRS
3,72200,203500,weighted_empirical,1768,1110,28,HRS
4,60725,202000,weighted_empirical,3920,2459,28,HRS
5,69000,232000,weighted_empirical,1645,1018,28,HRS
6,76000,241600,weighted_empirical,1764,1147,28,HRS
7,75000,276800,weighted_empirical,1069,675,28,HRS
8,96700,373000,weighted_empirical,972,608,28,HRS
9,84000,345000,weighted_empirical,965,623,28,HRS
10,50517,269000,weighted_empirical,1865,1176,28,HRS
11,70000,318000,weighted_empirical,1321,845,28,HRS
12,41300,298000,weighted_empirical,1354,851,28,HRS
13,75000,323000,weighted_empirical,1743,1083,28,HRS
14,83800,410000,weighted_empirical,1181,748,28,HRS
15,73500,370000,weighted_empirical,1382,842,28,HRS
2,50300,161000,weighted_empirical,11177,7030,29,HRS
3,71500,203801.447686761,weighted_empirical,1817,1122,29,HRS
4,63000,209900,weighted_empirical,3857,2457,29,HRS
5,79000,254000,weighted_empirical,1660,1039,29,HRS
6,76000,263200,weighted_empirical,1700,1082,29,HRS
7,99500,303000,weighted_empirical,1089,682,29,HRS
8,92060,350000,weighted_empirical,993,613,29,HRS
9,82600,365000,weighted_empirical,991,618,29,HRS
10,58250,304000,weighted_empirical,1860,1196,29,HRS
11,70800,285000,weighted_empirical,1317,829,29,HRS
12,52500,269600,weighted_empirical,1350,848,29,HRS
13,79000,323400,weighted_empirical,1690,1045,29,HRS
14,78000,385000,weighted_empirical,1142,746,29,HRS
15,80000,362000,weighted_empirical,1324,832,29,HRS
2,53851.6121681535,165875.283733608,weighted_empirical,10866,6941,30,HRS
3,73000,204500,weighted_empirical,1845,1126,30,HRS
4,65000,213000,weighted_empirical,3857,2444,30,HRS
5,78000,232000,weighted_empirical,1577,1001,30,HRS
6,80000,285000,weighted_empirical,1732,1109,30,HRS
7,86000,310000,weighted_empirical,1097,711,30,HRS
8,92060,355000,weighted_empirical,1005,610,30,HRS
9,101900,340000,weighted_empirical,991,631,30,HRS
10,51000,263000,weighted_empirical,1919,1213,30,HRS
11,67500,267000,weighted_empirical,1372,851,30,HRS
12,60000,280000,weighted_empirical,1421,875,30,HRS
13,75500,335000,weighted_empirical,1684,1071,30,HRS
14,57000,358000,weighted_empirical,1215,754,30,HRS
15,73500,345000,weighted_empirical,1386,847,30,HRS
2,50750,166000,weighted_empirical,11057,6933,31,HRS
3,77000,215000,weighted_empirical,1749,1133,31,HRS
4,62800,211500,weighted_empirical,3810,2412,31,HRS
5,79000,258000,weighted_empirical,1581,1015,31,HRS
6,82000,281000,weighted_empirical,1799,1128,31,HRS
7,68827,310000,weighted_empirical,1067,677,31,HRS
8,90001,333000,weighted_empirical,1008,631,31,HRS
9,97200,333000,weighted_empirical,1025,646,31,HRS
10,50900,268300,weighted_empirical,1894,1182,31,HRS
11,60000,282500,weighted_empirical,1316,822,31,HRS
12,39000,311000,weighted_empirical,1390,864,31,HRS
13,65000,3e+05,weighted_empirical,1667,1062,31,HRS
14,73000,336000,weighted_empirical,1248,779,31,HRS
15,1e+05,417000,weighted_empirical,1356,844,31,HRS
2,51600,169282.900058016,weighted_empirical,11230,7016,32,HRS
3,79000,225200,weighted_empirical,1756,1130,32,HRS
4,66350,212000,weighted_empirical,3744,2413,32,HRS
5,69300,222000,weighted_empirical,1626,1023,32,HRS
6,80000,280500,weighted_empirical,1768,1119,32,HRS
7,85300,281000,weighted_empirical,1111,713,32,HRS
8,72000,308000,weighted_empirical,938,583,32,HRS
9,90000,353000,weighted_empirical,991,619,32,HRS
10,49000,275000,weighted_empirical,1952,1215,32,HRS
11,71000,282500,weighted_empirical,1348,840,32,HRS
12,56000,342500,weighted_empirical,1313,841,32,HRS
13,54500,310000,weighted_empirical,1658,1061,32,HRS
14,78700,375000,weighted_empirical,1163,726,32,HRS
15,75500,393000,weighted_empirical,1369,834,32,HRS
2,52341.3950253814,168000,weighted_empirical,10941,6954,33,HRS
3,74000,217490,weighted_empirical,1777,1130,33,HRS
4,68250,209500,weighted_empirical,3816,2455,33,HRS
5,72000,241000,weighted_empirical,1728,1075,33,HRS
6,86000,279000,weighted_empirical,1810,1130,33,HRS
7,86000,290000,weighted_empirical,1113,719,33,HRS
8,84384,330000,weighted_empirical,977,612,33,HRS
9,88000,345000,weighted_empirical,978,626,33,HRS
10,53000,285000,weighted_empirical,1911,1189,33,HRS
11,82800,283501.97647929,weighted_empirical,1304,835,33,HRS
12,58000,345000,weighted_empirical,1361,862,33,HRS
13,57500,317300,weighted_empirical,1674,1052,33,HRS
14,61199,302000,weighted_empirical,1228,758,33,HRS
15,90000,411000,weighted_empirical,1349,845,33,HRS
2,50800,160000,weighted_empirical,11071,6981,34,HRS
3,73000,211000,weighted_empirical,1876,1168,34,HRS
4,64000,203500,weighted_empirical,3982,2504,34,HRS
5,70000,242000,weighted_empirical,1574,992,34,HRS
6,86000,275000,weighted_empirical,1806,1162,34,HRS
7,96000,302000,weighted_empirical,1090,680,34,HRS
8,84800,337000,weighted_empirical,963,605,34,HRS
9,95000,290000,weighted_empirical,1025,617,34,HRS
10,54500,280000,weighted_empirical,1866,1203,34,HRS
11,74000,310000,weighted_empirical,1304,846,34,HRS
12,52500,290000,weighted_empirical,1335,855,34,HRS
13,73000,319000,weighted_empirical,1625,1038,34,HRS
14,78000,315500,weighted_empirical,1134,742,34,HRS
15,88408.4056822079,360000,weighted_empirical,1316,839,34,HRS
2,53200,165000,weighted_empirical,11017,6996,35,HRS
3,70000,202000,weighted_empirical,1801,1156,35,HRS
4,59600,201000,weighted_empirical,3860,2485,35,HRS
5,73000,254200,weighted_empirical,1647,1048,35,HRS
6,80000,281000,weighted_empirical,1807,1104,35,HRS
7,73700,309000,weighted_empirical,1067,683,35,HRS
8,91750,360500,weighted_empirical,960,607,35,HRS
9,89000,320000,weighted_empirical,1068,658,35,HRS
10,54500,275000,weighted_empirical,1945,1229,35,HRS
11,69523,285000,weighted_empirical,1338,847,35,HRS
12,70000,303000,weighted_empirical,1288,835,35,HRS
13,89200,325000,weighted_empirical,1648,1055,35,HRS
14,76000,298000,weighted_empirical,1171,725,35,HRS
15,99000,417800,weighted_empirical,1350,846,35,HRS
2,52000,166000,weighted_empirical,11022,6969,36,HRS
3,73000,205100,weighted_empirical,1770,1126,36,HRS
4,64000,214500,weighted_empirical,3797,2459,36,HRS
5,65000,241000,weighted_empirical,1657,1045,36,HRS
6,85700,286500,weighted_empirical,1864,1183,36,HRS
7,88000,312005,weighted_empirical,1094,691,36,HRS
8,92060,348000,weighted_empirical,974,601,36,HRS
9,90000,355000,weighted_empirical,1022,647,36,HRS
10,48000,255000,weighted_empirical,1884,1210,36,HRS
11,67500,250758.620878259,weighted_empirical,1404,868,36,HRS
12,47000,309000,weighted_empirical,1266,822,36,HRS
13,77679,325000,weighted_empirical,1735,1067,36,HRS
14,57000,288000,weighted_empirical,1162,715,36,HRS
