wealth_entry_wave,q33,q67,cut_method,resampled_person_frequency,unique_sampled_persons,replicate,cohort
4,18100,205030,weighted_empirical,4341,2769,22,CHARLS
3,20100,146000,weighted_empirical,5383,3403,23,CHARLS
4,13920,178300,weighted_empirical,4424,2751,23,CHARLS
3,21900,144100,weighted_empirical,5426,3461,24,CHARLS
4,16750,191225,weighted_empirical,4419,2793,24,CHARLS
3,22600,152550,weighted_empirical,5268,3386,25,CHARLS
4,19500,203640,weighted_empirical,4508,2803,25,CHARLS
3,23250,156400,weighted_empirical,5360,3441,26,CHARLS
4,15530,191118,weighted_empirical,4490,2779,26,CHARLS
3,20800,151400,weighted_empirical,5639,3517,27,CHARLS
4,15400,202800,weighted_empirical,4347,2738,27,CHARLS
3,20780,149900,weighted_empirical,5535,3474,28,CHARLS
4,17980,208610,weighted_empirical,4389,2755,28,CHARLS
3,22000,159160,weighted_empirical,5459,3516,29,CHARLS
4,17200,190530,weighted_empirical,4338,2737,29,CHARLS
3,21400,148100,weighted_empirical,5416,3410,30,CHARLS
4,14650,202750,weighted_empirical,4367,2779,30,CHARLS
3,20820,143500,weighted_empirical,5395,3411,31,CHARLS
4,16500,193200,weighted_empirical,4408,2792,31,CHARLS
3,21650,147700,weighted_empirical,5544,3475,32,CHARLS
4,16500,202450,weighted_empirical,4304,2760,32,CHARLS
3,22550,155495,weighted_empirical,5439,3457,33,CHARLS
4,17480,194200,weighted_empirical,4382,2752,33,CHARLS
3,22630,154250,weighted_empirical,5504,3460,34,CHARLS
4,16950,185070,weighted_empirical,4308,2748,34,CHARLS
3,22300,155900,weighted_empirical,5587,3508,35,CHARLS
4,17200,202860,weighted_empirical,4300,2769,35,CHARLS
3,23120,154250,weighted_empirical,5376,3415,36,CHARLS
4,15491,201200,weighted_empirical,4497,2803,36,CHARLS
3,21000,147350,weighted_empirical,5472,3449,37,CHARLS
4,14800,203400,weighted_empirical,4398,2777,37,CHARLS
3,22600,153500,weighted_empirical,5443,3432,38,CHARLS
4,14800,202860,weighted_empirical,4430,2793,38,CHARLS
3,20570,148500,weighted_empirical,5535,3490,39,CHARLS
4,15150,182000,weighted_empirical,4291,2703,39,CHARLS
3,22600,153450,weighted_empirical,5459,3462,40,CHARLS
4,15491,201680,weighted_empirical,4381,2766,40,CHARLS
3,21590,152550,weighted_empirical,5476,3474,41,CHARLS
4,15150,185150,weighted_empirical,4352,2757,41,CHARLS
3,21400,152550,weighted_empirical,5384,3411,42,CHARLS
4,18000.19921875,205450,weighted_empirical,4415,2788,42,CHARLS
3,21050,150150,weighted_empirical,5508,3529,43,CHARLS
4,13440,195820,weighted_empirical,4298,2705,43,CHARLS
3,21500,152450,weighted_empirical,5539,3473,44,CHARLS
4,15491,205450,weighted_empirical,4393,2788,44,CHARLS
3,21050,147350,weighted_empirical,5477,3433,45,CHARLS
4,14650,203202,weighted_empirical,4431,2799,45,CHARLS
3,21050,157600,weighted_empirical,5473,3450,46,CHARLS
4,18930,207520,weighted_empirical,4283,2735,46,CHARLS
3,20950,143800,weighted_empirical,5357,3371,47,CHARLS
4,16130,195800,weighted_empirical,4496,2838,47,CHARLS
3,22435,156850,weighted_empirical,5465,3432,48,CHARLS
4,15150,185070,weighted_empirical,4346,2761,48,CHARLS
3,21770,155495,weighted_empirical,5554,3482,49,CHARLS
4,14640,191000,weighted_empirical,4317,2717,49,CHARLS
3,20900,154400,weighted_empirical,5451,3453,50,CHARLS
4,15600,191000,weighted_empirical,4472,2783,50,CHARLS
3,21400,150150,weighted_empirical,5416,3493,51,CHARLS
4,13000,169190,weighted_empirical,4367,2752,51,CHARLS
3,21400,151840,weighted_empirical,5530,3529,52,CHARLS
4,15491,204350,weighted_empirical,4320,2729,52,CHARLS
3,21650,155900,weighted_empirical,5448,3476,53,CHARLS
4,14700,205305,weighted_empirical,4410,2772,53,CHARLS
3,20700,143085,weighted_empirical,5414,3453,54,CHARLS
4,15600,205450,weighted_empirical,4464,2798,54,CHARLS
3,21310,153100,weighted_empirical,5470,3478,55,CHARLS
4,15500,204150,weighted_empirical,4288,2727,55,CHARLS
3,20250,142670.5,weighted_empirical,5526,3497,56,CHARLS
4,14650,194200,weighted_empirical,4343,2765,56,CHARLS
3,21900,156550,weighted_empirical,5512,3479,57,CHARLS
4,16920,185070,weighted_empirical,4328,2758,57,CHARLS
3,20780,150500,weighted_empirical,5482,3461,58,CHARLS
4,18000,201970,weighted_empirical,4349,2740,58,CHARLS
3,24300,162844,weighted_empirical,5431,3451,59,CHARLS
4,14600,201200,weighted_empirical,4395,2770,59,CHARLS
3,21700,156950,weighted_empirical,5535,3487,60,CHARLS
4,16810,201550,weighted_empirical,4374,2748,60,CHARLS
3,22242.5,156050,weighted_empirical,5449,3444,61,CHARLS
4,14700,190530,weighted_empirical,4339,2763,61,CHARLS
3,21093,148380,weighted_empirical,5440,3425,62,CHARLS
4,17480,205305,weighted_empirical,4478,2785,62,CHARLS
3,20710,144950,weighted_empirical,5449,3452,63,CHARLS
4,13140,186250,weighted_empirical,4335,2769,63,CHARLS
3,22985,152450,weighted_empirical,5489,3440,64,CHARLS
4,18408,213480,weighted_empirical,4356,2747,64,CHARLS
3,22600,150150,weighted_empirical,5471,3472,65,CHARLS
4,15200,201125,weighted_empirical,4368,2764,65,CHARLS
3,22300,151840,weighted_empirical,5598,3522,66,CHARLS
4,15410,201348,weighted_empirical,4295,2713,66,CHARLS
3,20860,152450,weighted_empirical,5429,3470,67,CHARLS
4,19320,208610,weighted_empirical,4375,2796,67,CHARLS
3,22200,155670,weighted_empirical,5508,3451,68,CHARLS
4,16500,197450,weighted_empirical,4320,2755,68,CHARLS
3,21700,141400,weighted_empirical,5415,3364,69,CHARLS
4,14800,193200,weighted_empirical,4415,2810,69,CHARLS
3,21900,144950,weighted_empirical,5504,3473,70,CHARLS
4,15220,194250,weighted_empirical,4351,2734,70,CHARLS
3,20780,144700,weighted_empirical,5438,3425,71,CHARLS
4,16920,205550,weighted_empirical,4355,2783,71,CHARLS
3,21851,152400,weighted_empirical,5482,3445,72,CHARLS
4,15200,189515,weighted_empirical,4425,2822,72,CHARLS
3,21590,144100,weighted_empirical,5437,3439,73,CHARLS
4,14400,179200,weighted_empirical,4397,2761,73,CHARLS
3,21900,150500,weighted_empirical,5496,3448,74,CHARLS
4,15200,202800,weighted_empirical,4235,2696,74,CHARLS
3,21820,139800,weighted_empirical,5453,3469,75,CHARLS
4,15150,193200,weighted_empirical,4415,2785,75,CHARLS
3,22000,152550,weighted_empirical,5455,3454,76,CHARLS
4,17010,203466,weighted_empirical,4417,2792,76,CHARLS
3,22315,156550,weighted_empirical,5418,3426,77,CHARLS
4,15200,190300,weighted_empirical,4404,2783,77,CHARLS
3,20900,141400,weighted_empirical,5496,3458,78,CHARLS
4,17872,200200,weighted_empirical,4445,2808,78,CHARLS
3,21050,150150,weighted_empirical,5501,3430,79,CHARLS
4,16500,202860,weighted_empirical,4360,2759,79,CHARLS
3,21800,147350,weighted_empirical,5469,3424,80,CHARLS
4,17280,201125,weighted_empirical,4343,2737,80,CHARLS
3,21500,146000,weighted_empirical,5457,3470,81,CHARLS
4,15300,200200,weighted_empirical,4409,2760,81,CHARLS
3,21790,153100,weighted_empirical,5449,3471,82,CHARLS
4,16500,185070,weighted_empirical,4414,2751,82,CHARLS
3,21400,156530,weighted_empirical,5485,3411,83,CHARLS
4,16000,202860,weighted_empirical,4338,2754,83,CHARLS
3,22630,157250,weighted_empirical,5523,3459,84,CHARLS
4,17400,201065,weighted_empirical,4356,2770,84,CHARLS
3,21400,142900,weighted_empirical,5465,3424,85,CHARLS
4,15060,185070,weighted_empirical,4392,2799,85,CHARLS
3,21600,143420,weighted_empirical,5483,3449,86,CHARLS
4,15491,200642.5,weighted_empirical,4495,2848,86,CHARLS
3,21820,149900,weighted_empirical,5454,3463,87,CHARLS
4,17400,203466,weighted_empirical,4312,2752,87,CHARLS
3,23750,154050,weighted_empirical,5414,3455,88,CHARLS
4,15310.5,208610,weighted_empirical,4412,2785,88,CHARLS
3,23120,153100,weighted_empirical,5541,3513,89,CHARLS
4,16810,204100,weighted_empirical,4345,2709,89,CHARLS
3,20780,144800,weighted_empirical,5509,3468,90,CHARLS
4,17290,203640,weighted_empirical,4431,2825,90,CHARLS
3,20450,146100,weighted_empirical,5504,3463,91,CHARLS
4,16920,206500,weighted_empirical,4342,2748,91,CHARLS
3,21400,149900,weighted_empirical,5473,3470,92,CHARLS
4,15491,180100,weighted_empirical,4337,2756,92,CHARLS
3,23800,166500,weighted_empirical,5545,3460,93,CHARLS
4,15600,190300,weighted_empirical,4337,2740,93,CHARLS
3,20880,142670.5,weighted_empirical,5523,3461,94,CHARLS
4,14700,183062.5,weighted_empirical,4331,2770,94,CHARLS
3,19130,152400,weighted_empirical,5397,3417,95,CHARLS
4,19540,203466,weighted_empirical,4421,2786,95,CHARLS
3,20780,147700,weighted_empirical,5381,3406,96,CHARLS
4,15600,201250,weighted_empirical,4359,2718,96,CHARLS
3,21790,150295,weighted_empirical,5381,3440,97,CHARLS
4,15560,206550,weighted_empirical,4433,2790,97,CHARLS
4,14650,165650,weighted_empirical,4421,2824,98,CHARLS
3,20900,154050,weighted_empirical,5471,3511,98,CHARLS
3,23120,159160,weighted_empirical,5471,3509,99,CHARLS
4,15200,191225,weighted_empirical,4376,2773,99,CHARLS
3,22200,153400,weighted_empirical,5401,3450,100,CHARLS
4,15410,205450,weighted_empirical,4432,2812,100,CHARLS
3,23610,154000,weighted_empirical,5497,3457,101,CHARLS
4,16750,205305,weighted_empirical,4363,2750,101,CHARLS
3,22000,155200,weighted_empirical,5496,3449,102,CHARLS
4,15310.5,208610,weighted_empirical,4305,2746,102,CHARLS
3,24610,164000,weighted_empirical,5498,3438,103,CHARLS
4,15530,207250,weighted_empirical,4332,2722,103,CHARLS
3,21800,154300,weighted_empirical,5521,3502,104,CHARLS
4,16700,207300,weighted_empirical,4323,2752,104,CHARLS
3,20750,150050,weighted_empirical,5488,3454,105,CHARLS
4,17200,205265,weighted_empirical,4344,2740,105,CHARLS
3,20800,150900,weighted_empirical,5517,3535,106,CHARLS
4,15300,185070,weighted_empirical,4320,2762,106,CHARLS
3,21500,146000,weighted_empirical,5615,3572,107,CHARLS
4,15410,201000,weighted_empirical,4327,2775,107,CHARLS
3,22200,159265,weighted_empirical,5492,3445,108,CHARLS
4,15600,2e+05,weighted_empirical,4345,2778,108,CHARLS
3,20450,150295,weighted_empirical,5490,3456,109,CHARLS
4,16500,201970,weighted_empirical,4406,2814,109,CHARLS
3,21093,140210,weighted_empirical,5495,3451,110,CHARLS
4,15600,211700,weighted_empirical,4368,2773,110,CHARLS
3,23120,151840,weighted_empirical,5599,3511,111,CHARLS
4,15400,193200,weighted_empirical,4270,2699,111,CHARLS
3,20200,143800,weighted_empirical,5469,3414,112,CHARLS
4,15560,202400,weighted_empirical,4368,2791,112,CHARLS
3,24850,154000,weighted_empirical,5450,3447,113,CHARLS
4,16750,213310,weighted_empirical,4377,2747,113,CHARLS
3,22900,154050,weighted_empirical,5449,3463,114,CHARLS
4,15410,193200,weighted_empirical,4289,2717,114,CHARLS
3,22550,154252,weighted_empirical,5412,3401,115,CHARLS
4,14650,187828,weighted_empirical,4475,2795,115,CHARLS
3,20700,153100,weighted_empirical,5363,3408,116,CHARLS
4,15220,173200,weighted_empirical,4509,2810,116,CHARLS
3,21700,148380,weighted_empirical,5460,3483,117,CHARLS
4,16750,202800,weighted_empirical,4421,2821,117,CHARLS
3,21851,154000,weighted_empirical,5450,3469,118,CHARLS
4,14640,177800,weighted_empirical,4400,2801,118,CHARLS
3,22300,150500,weighted_empirical,5384,3421,119,CHARLS
4,16920,201670,weighted_empirical,4401,2756,119,CHARLS
3,20890,144100,weighted_empirical,5437,3451,120,CHARLS
4,13500,201184,weighted_empirical,4442,2805,120,CHARLS
3,22200,153500,weighted_empirical,5387,3395,121,CHARLS
4,15150,191000,weighted_empirical,4368,2758,121,CHARLS
3,23300,152550,weighted_empirical,5455,3417,122,CHARLS
4,18650,205030,weighted_empirical,4465,2770,122,CHARLS
3,20250,140500,weighted_empirical,5397,3436,123,CHARLS
4,16500,189515,weighted_empirical,4429,2785,123,CHARLS
3,23300,154250,weighted_empirical,5512,3481,124,CHARLS
4,20420,213310,weighted_empirical,4363,2774,124,CHARLS
3,20950,144800,weighted_empirical,5448,3453,125,CHARLS
4,16920,203640,weighted_empirical,4425,2772,125,CHARLS
3,20780,146100,weighted_empirical,5461,3484,126,CHARLS
4,15400,186300,weighted_empirical,4410,2770,126,CHARLS
3,21650,147700,weighted_empirical,5466,3439,127,CHARLS
4,20100,205450,weighted_empirical,4363,2800,127,CHARLS
3,21250,152450,weighted_empirical,5357,3412,128,CHARLS
4,17290,209900,weighted_empirical,4404,2807,128,CHARLS
3,23565,156570,weighted_empirical,5494,3452,129,CHARLS
4,18100,203200,weighted_empirical,4360,2793,129,CHARLS
3,20448,142670.5,weighted_empirical,5435,3470,130,CHARLS
4,15560,201184,weighted_empirical,4382,2760,130,CHARLS
3,22830,154050,weighted_empirical,5506,3522,131,CHARLS
4,17480,204150,weighted_empirical,4346,2756,131,CHARLS
3,20900,144700,weighted_empirical,5464,3497,132,CHARLS
4,15406,201065,weighted_empirical,4339,2755,132,CHARLS
3,21650,154200,weighted_empirical,5503,3431,133,CHARLS
4,20250,201970,weighted_empirical,4334,2756,133,CHARLS
3,20680,151400,weighted_empirical,5459,3478,134,CHARLS
4,17280,211700,weighted_empirical,4258,2725,134,CHARLS
3,21820,148300,weighted_empirical,5510,3466,135,CHARLS
4,15410,193200,weighted_empirical,4339,2784,135,CHARLS
3,21400,153080,weighted_empirical,5447,3402,136,CHARLS
4,15410,200200,weighted_empirical,4399,2763,136,CHARLS
3,22300,158865,weighted_empirical,5400,3448,137,CHARLS
4,14650,185070,weighted_empirical,4424,2770,137,CHARLS
3,20900,152400,weighted_empirical,5446,3419,138,CHARLS
4,15410,186250,weighted_empirical,4348,2749,138,CHARLS
3,23565,150050,weighted_empirical,5405,3391,139,CHARLS
4,15200,185070,weighted_empirical,4436,2769,139,CHARLS
3,21093,156400,weighted_empirical,5549,3502,140,CHARLS
4,15600,185070,weighted_empirical,4278,2737,140,CHARLS
3,20820,146050,weighted_empirical,5404,3409,141,CHARLS
4,15200,176270,weighted_empirical,4346,2754,141,CHARLS
3,20280,144700,weighted_empirical,5433,3476,142,CHARLS
4,20000,207700,weighted_empirical,4381,2748,142,CHARLS
3,20570,146600,weighted_empirical,5428,3455,143,CHARLS
4,15406,203640,weighted_empirical,4440,2773,143,CHARLS
3,22799,155200,weighted_empirical,5516,3485,144,CHARLS
4,15600,205550,weighted_empirical,4357,2779,144,CHARLS
3,20070,150500,weighted_empirical,5524,3421,145,CHARLS
4,14650,185150,weighted_empirical,4312,2738,145,CHARLS
3,20250,151150,weighted_empirical,5466,3459,146,CHARLS
4,16750,206500,weighted_empirical,4293,2731,146,CHARLS
3,22630,154250,weighted_empirical,5462,3468,147,CHARLS
4,16200,201680,weighted_empirical,4408,2734,147,CHARLS
3,22200,143610,weighted_empirical,5412,3412,148,CHARLS
4,16920,208610,weighted_empirical,4378,2791,148,CHARLS
3,21000,154252,weighted_empirical,5502,3469,149,CHARLS
4,15400,200200,weighted_empirical,4367,2704,149,CHARLS
3,23040,152450,weighted_empirical,5576,3537,150,CHARLS
4,18408,201970,weighted_empirical,4273,2742,150,CHARLS
3,20820,151050,weighted_empirical,5385,3426,151,CHARLS
4,16750,195820,weighted_empirical,4422,2784,151,CHARLS
3,23140,154900,weighted_empirical,5437,3462,152,CHARLS
4,16750,185070,weighted_empirical,4375,2783,152,CHARLS
3,22250,155200,weighted_empirical,5528,3451,153,CHARLS
4,16500,185070,weighted_empirical,4361,2810,153,CHARLS
3,21900,154250,weighted_empirical,5464,3451,154,CHARLS
4,16500,193200,weighted_empirical,4412,2822,154,CHARLS
3,22200,149900,weighted_empirical,5378,3457,155,CHARLS
4,19800,213310,weighted_empirical,4402,2755,155,CHARLS
3,21590,144110,weighted_empirical,5465,3495,156,CHARLS
4,15120,194250,weighted_empirical,4363,2768,156,CHARLS
3,22900,159265,weighted_empirical,5574,3496,157,CHARLS
4,13920,204240,weighted_empirical,4278,2732,157,CHARLS
3,22200,155290,weighted_empirical,5480,3406,158,CHARLS
4,21200,202292,weighted_empirical,4402,2747,158,CHARLS
3,22830,155900,weighted_empirical,5660,3525,159,CHARLS
4,15560,194200,weighted_empirical,4240,2719,159,CHARLS
3,20780,154250,weighted_empirical,5412,3432,160,CHARLS
4,21600,217870,weighted_empirical,4387,2779,160,CHARLS
3,21790,146320,weighted_empirical,5396,3462,161,CHARLS
4,14700,196260,weighted_empirical,4436,2761,161,CHARLS
3,21500,151840,weighted_empirical,5331,3389,162,CHARLS
4,13100.009765625,191225,weighted_empirical,4488,2767,162,CHARLS
3,22200,153500,weighted_empirical,5442,3421,163,CHARLS
4,17400,183062.5,weighted_empirical,4420,2757,163,CHARLS
3,22200,152550,weighted_empirical,5506,3497,164,CHARLS
4,13100.009765625,166848,weighted_empirical,4303,2723,164,CHARLS
3,22799,156530,weighted_empirical,5467,3480,165,CHARLS
4,13400,173500,weighted_empirical,4361,2777,165,CHARLS
3,20280,146100,weighted_empirical,5528,3466,166,CHARLS
4,17290,204350,weighted_empirical,4281,2696,166,CHARLS
3,22250,146100,weighted_empirical,5461,3481,167,CHARLS
4,15200,207250,weighted_empirical,4379,2752,167,CHARLS
3,22700,156900,weighted_empirical,5431,3458,168,CHARLS
4,16200,186300,weighted_empirical,4414,2718,168,CHARLS
3,20346,141710,weighted_empirical,5431,3441,169,CHARLS
4,17310,207300,weighted_empirical,4469,2770,169,CHARLS
3,21650,154050,weighted_empirical,5513,3458,170,CHARLS
4,15500,191118,weighted_empirical,4353,2764,170,CHARLS
3,22000,153200,weighted_empirical,5473,3494,171,CHARLS
4,20420,212900,weighted_empirical,4317,2749,171,CHARLS
3,22600,171090,weighted_empirical,5434,3461,172,CHARLS
4,18900,207250,weighted_empirical,4407,2784,172,CHARLS
3,20650,154050,weighted_empirical,5495,3463,173,CHARLS
4,17010,205450,weighted_empirical,4338,2767,173,CHARLS
3,19450,144110,weighted_empirical,5466,3446,174,CHARLS
4,17200,201125,weighted_empirical,4445,2805,174,CHARLS
3,25320,158865,weighted_empirical,5412,3439,175,CHARLS
4,15500,190530,weighted_empirical,4375,2750,175,CHARLS
3,21600,151050,weighted_empirical,5592,3483,176,CHARLS
4,17400,201670,weighted_empirical,4220,2714,176,CHARLS
3,19600,144100,weighted_empirical,5500,3428,177,CHARLS
4,15400,2e+05,weighted_empirical,4373,2779,177,CHARLS
3,22630,157600,weighted_empirical,5553,3515,178,CHARLS
4,15000,187855,weighted_empirical,4333,2725,178,CHARLS
3,20430,155485,weighted_empirical,5479,3421,179,CHARLS
4,15300,201680,weighted_empirical,4367,2777,179,CHARLS
3,19680,148100,weighted_empirical,5385,3406,180,CHARLS
4,16000,204810,weighted_empirical,4447,2752,180,CHARLS
3,20780,151050,weighted_empirical,5483,3488,181,CHARLS
4,15400,201680,weighted_empirical,4327,2727,181,CHARLS
3,20200,141400,weighted_empirical,5409,3447,182,CHARLS
4,16500,201125,weighted_empirical,4397,2761,182,CHARLS
3,20820,148100,weighted_empirical,5425,3449,183,CHARLS
4,13440,183062.5,weighted_empirical,4426,2785,183,CHARLS
3,20310,150295,weighted_empirical,5473,3494,184,CHARLS
4,15120,207520,weighted_empirical,4421,2757,184,CHARLS
3,22200,144100,weighted_empirical,5555,3483,185,CHARLS
4,16920,173500,weighted_empirical,4278,2726,185,CHARLS
3,22630,158200,weighted_empirical,5431,3454,186,CHARLS
4,14100,200200,weighted_empirical,4429,2759,186,CHARLS
3,22200,143800,weighted_empirical,5454,3429,187,CHARLS
4,16000,187828,weighted_empirical,4383,2781,187,CHARLS
3,21650,153500,weighted_empirical,5413,3414,188,CHARLS
4,15150,201200,weighted_empirical,4447,2797,188,CHARLS
3,22600,153200,weighted_empirical,5435,3457,189,CHARLS
4,18930,214250,weighted_empirical,4441,2807,189,CHARLS
3,21900,153100,weighted_empirical,5528,3476,190,CHARLS
4,17550,202420,weighted_empirical,4314,2697,190,CHARLS
3,22799,153000,weighted_empirical,5471,3409,191,CHARLS
4,20250,206450,weighted_empirical,4346,2726,191,CHARLS
3,21400,148300,weighted_empirical,5490,3466,192,CHARLS
4,16000,201125,weighted_empirical,4385,2744,192,CHARLS
3,22000,150295,weighted_empirical,5489,3494,193,CHARLS
4,15406,207300,weighted_empirical,4388,2792,193,CHARLS
3,22550,154250,weighted_empirical,5434,3428,194,CHARLS
4,15410,204350,weighted_empirical,4384,2772,194,CHARLS
3,21180,153500,weighted_empirical,5465,3470,195,CHARLS
4,18530,205450,weighted_empirical,4340,2750,195,CHARLS
3,22000,141720,weighted_empirical,5486,3478,196,CHARLS
4,15600,2e+05,weighted_empirical,4465,2745,196,CHARLS
3,22630,153450,weighted_empirical,5472,3442,197,CHARLS
4,17400,191118,weighted_empirical,4341,2752,197,CHARLS
3,21700,150320,weighted_empirical,5531,3482,198,CHARLS
4,16750,202800,weighted_empirical,4254,2702,198,CHARLS
3,21093,154252,weighted_empirical,5475,3440,199,CHARLS
4,15560,207520,weighted_empirical,4336,2724,199,CHARLS
3,21400,150000,weighted_empirical,5546,3511,200,CHARLS
4,15310.5,202800,weighted_empirical,4390,2782,200,CHARLS
3,20450,146050,weighted_empirical,5536,3516,201,CHARLS
4,17300,208500,weighted_empirical,4377,2745,201,CHARLS
3,22315,148100,weighted_empirical,5411,3419,202,CHARLS
4,19060,206450,weighted_empirical,4411,2740,202,CHARLS
3,21180,143800,weighted_empirical,5538,3492,203,CHARLS
4,15180,203466,weighted_empirical,4318,2691,203,CHARLS
3,22700,155495,weighted_empirical,5481,3485,204,CHARLS
4,14700,194200,weighted_empirical,4327,2741,204,CHARLS
3,22820,159500,weighted_empirical,5555,3493,205,CHARLS
4,20150,207900,weighted_empirical,4338,2793,205,CHARLS
3,21900,155200,weighted_empirical,5513,3485,206,CHARLS
4,17980,207700,weighted_empirical,4339,2757,206,CHARLS
3,23565,155700,weighted_empirical,5659,3499,207,CHARLS
4,15491,210450,weighted_empirical,4237,2772,207,CHARLS
3,21093,151150,weighted_empirical,5374,3455,208,CHARLS
4,15600,201680,weighted_empirical,4410,2832,208,CHARLS
3,23250,155900,weighted_empirical,5465,3484,209,CHARLS
4,16290,209900,weighted_empirical,4347,2774,209,CHARLS
3,23860,156550,weighted_empirical,5468,3419,210,CHARLS
4,18100,208500,weighted_empirical,4354,2806,210,CHARLS
3,21400,144800,weighted_empirical,5522,3463,211,CHARLS
4,15300,195820,weighted_empirical,4376,2777,211,CHARLS
3,20780,155200,weighted_empirical,5553,3518,212,CHARLS
4,15410,183062.5,weighted_empirical,4361,2773,212,CHARLS
3,20780,156550,weighted_empirical,5464,3443,213,CHARLS
4,19320,201670,weighted_empirical,4404,2805,213,CHARLS
3,20448,153100,weighted_empirical,5442,3396,214,CHARLS
4,19320,207000,weighted_empirical,4352,2747,214,CHARLS
3,20780,152800,weighted_empirical,5437,3450,215,CHARLS
4,15150,173200,weighted_empirical,4428,2819,215,CHARLS
3,19680,144700,weighted_empirical,5557,3468,216,CHARLS
4,15400,191000,weighted_empirical,4295,2733,216,CHARLS
3,21200,143800,weighted_empirical,5504,3401,217,CHARLS
4,15400,169190,weighted_empirical,4400,2778,217,CHARLS
3,21590,150500,weighted_empirical,5434,3395,218,CHARLS
4,15300,204350,weighted_empirical,4383,2794,218,CHARLS
3,22435,154252,weighted_empirical,5533,3518,219,CHARLS
4,17290,201184,weighted_empirical,4362,2765,219,CHARLS
3,20860,153450,weighted_empirical,5432,3426,220,CHARLS
4,15400,194200,weighted_empirical,4418,2764,220,CHARLS
3,19600,147700,weighted_empirical,5541,3502,221,CHARLS
4,14650,194250,weighted_empirical,4265,2747,221,CHARLS
3,21790,153450,weighted_empirical,5438,3477,222,CHARLS
4,17300,206500,weighted_empirical,4381,2791,222,CHARLS
3,21900,151400,weighted_empirical,5495,3495,223,CHARLS
4,19250,201680,weighted_empirical,4333,2736,223,CHARLS
3,22600,154050,weighted_empirical,5418,3450,224,CHARLS
4,17400,203200,weighted_empirical,4373,2774,224,CHARLS
3,22200,153200,weighted_empirical,5431,3433,225,CHARLS
4,17300,206500,weighted_empirical,4390,2726,225,CHARLS
3,22900,153500,weighted_empirical,5354,3432,226,CHARLS
4,15600,185070,weighted_empirical,4416,2757,226,CHARLS
3,22985,144950,weighted_empirical,5474,3505,227,CHARLS
4,14700,200642.5,weighted_empirical,4399,2758,227,CHARLS
3,22240,159500,weighted_empirical,5450,3426,228,CHARLS
4,15300,201970,weighted_empirical,4359,2728,228,CHARLS
3,21000,142900,weighted_empirical,5412,3437,229,CHARLS
4,16810,204240,weighted_empirical,4363,2748,229,CHARLS
3,20860,150295,weighted_empirical,5507,3486,230,CHARLS
4,14800,194250,weighted_empirical,4415,2800,230,CHARLS
3,22250,156530,weighted_empirical,5523,3486,231,CHARLS
